"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"NCG06","OUT045",3952.3421677543
"DRC36","OUT045",2736.7124889315
"FDV21","OUT019",38.7852519091681
"FDB53","OUT046",2381.18201168707
"DRP47","OUT019",2028.54285971393
"FDA14","OUT013",2385.30496361226
"DRC24","OUT035",2584.69915359517
"FDW21","OUT018",1368.22093046859
"NCH29","OUT046",1531.13506194719
"FDU58","OUT013",3061.87249870277
"FDY27","OUT017",2940.11234558913
"FDV56","OUT035",1950.98719727301
"FDT59","OUT046",3670.02478970319
"FDB23","OUT046",3604.81216197123
"FDR49","OUT045",700.279187899661
"FDB03","OUT010",1919.17221328513
"FDN39","OUT045",2630.89270564102
"FDX02","OUT027",4993.15316407833
"FDQ16","OUT027",3164.44167658865
"FDU35","OUT018",1322.67309063421
"NCT29","OUT013",1950.36975870108
"FDZ27","OUT046",833.737339961111
"FDN57","OUT017",2364.63973435023
"FDA03","OUT018",2123.49841454332
"FDZ36","OUT045",2906.24173634964
"NCU05","OUT013",1348.19742296221
"FDT39","OUT018",2205.58466871815
"FDK60","OUT017",1701.50705544505
"FDZ25","OUT017",2858.3599664582
"FDG12","OUT046",1977.31390839649
"DRB01","OUT019",1106.69079079494
"NCC43","OUT027",5359.88149968167
"FDX13","OUT019",2011.49613519254
"FDM22","OUT049",1017.21201663211
"FDJ03","OUT027",2326.35733048446
"FDU14","OUT018",3677.19650212499
"FDB33","OUT010",657.957575918625
"FDP27","OUT046",3028.38070331276
"FDO38","OUT010",-661.74345648742
"FDE28","OUT027",5139.9012026089
"FDO27","OUT035",1699.88917878225
"DRL23","OUT027",3148.33860159614
"FDS28","OUT046",953.299524038308
"FDX24","OUT013",1540.05726584539
"FDZ02","OUT035",1751.31041728697
"FDL46","OUT045",1773.83338547912
"FDS60","OUT027",4290.43008919594
"NCO06","OUT017",652.130946524
"FDO16","OUT035",1516.3752650956
"FDC60","OUT049",1526.05425673536
"FDA48","OUT018",3199.10954851256
"FDZ36","OUT027",4435.06168646623
"FDK27","OUT045",1878.86391877524
"FDW23","OUT018",390.350828921591
"FDM14","OUT018",1497.96978452772
"FDM14","OUT013",1775.82512050915
"FDW60","OUT018",2583.39792024774
"FDE21","OUT013",1911.5858440716
"NCM42","OUT035",1860.5623812945
"FDY59","OUT010",-390.307531484291
"DRI49","OUT049",1391.94461275322
"FDT28","OUT019",533.556848056035
"FDQ22","OUT018",411.252842543661
"FDR60","OUT049",1350.53437627723
"FDC50","OUT019",-400.487767265018
"FDV24","OUT013",2437.98988466802
"DRF48","OUT010",1048.6681899435
"FDQ47","OUT046",684.386715929486
"DRN36","OUT049",1653.09912057834
"NCY06","OUT035",2157.56231279719
"FDE52","OUT035",1667.60806330031
"NCB54","OUT045",1920.69989070391
"NCF31","OUT035",2578.47279156373
"FDJ08","OUT027",4476.4988594167
"NCC07","OUT017",1774.55117208258
"NCD19","OUT027",2328.79367760481
"FDL46","OUT049",1968.55113344848
"FDM20","OUT045",3834.37068627735
"NCI06","OUT010",943.741495081507
"DRM11","OUT035",4191.79948120986
"NCH07","OUT018",2242.21380524218
"FDS23","OUT013",2037.09022095162
"FDO49","OUT018",613.70781800793
"FDS35","OUT049",1151.96114253311
"DRK39","OUT045",1277.11352521408
"DRI39","OUT049",1037.70576213581
"FDV04","OUT017",2654.30610093328
"NCN14","OUT035",3011.34353816067
"FDH08","OUT013",3694.9718897152
"FDS20","OUT046",2930.09605968606
"FDV40","OUT049",1350.76934158076
"FDZ48","OUT010",-166.734511996091
"FDS24","OUT027",2896.17772970663
"FDK44","OUT049",2880.03132901514
"FDS48","OUT045",2362.75483669905
"FDK26","OUT010",1078.09043548409
"FDD23","OUT045",2973.38559576823
"NCH54","OUT017",2670.90295433755
"NCP14","OUT010",-255.410723701503
"FDM60","OUT010",-1177.93070170755
"FDV24","OUT017",2503.00363478918
"FDH08","OUT018",3353.66473895026
"FDS12","OUT027",3446.61226937292
"FDR39","OUT027",4324.08585106271
"FDP12","OUT027",2152.46951999753
"DRF60","OUT027",5169.7466587193
"FDC09","OUT035",1857.38283317219
"FDF50","OUT018",2827.66332361524
"FDG28","OUT035",4033.31545797426
"NCE19","OUT017",987.371847238638
"NCM53","OUT010",-218.400038821536
"NCN18","OUT049",1836.69255650331
"FDF32","OUT035",3317.62584267417
"FDF11","OUT013",3858.31100835155
"DRI59","OUT049",3643.14788769531
"NCG54","OUT035",2832.82888231039
"FDM44","OUT046",1656.4009070618
"FDT57","OUT018",3461.2156638352
"FDV24","OUT046",2398.41604036457
"FDI50","OUT019",1743.91750997866
"FDS09","OUT035",1032.14677377886
"NCC31","OUT027",3917.04079584133
"FDQ07","OUT019",1608.36065221399
"FDC22","OUT017",3161.5980828498
"FDZ56","OUT046",2729.22758932279
"FDZ40","OUT019",-1003.8857675476
"FDS46","OUT027",3367.39574009655
"DRD24","OUT045",2198.00977246815
"FDV45","OUT017",3110.7520435807
"FDL26","OUT045",2424.53227377951
"FDA56","OUT018",1703.46369541188
"FDN27","OUT046",1879.0024473447
"FDM20","OUT049",3981.25664819726
"FDO16","OUT017",1449.14059117997
"FDL03","OUT035",3304.66547108037
"FDE58","OUT046",1851.31765783772
"FDI02","OUT027",3269.11942025124
"NCC55","OUT019",-1237.28209451795
"FDR03","OUT018",3054.22824869842
"FDB14","OUT017",1617.07941971327
"FDR45","OUT013",3838.56963444847
"NCN07","OUT017",2131.52238611146
"FDM51","OUT019",-186.412065785807
"FDT52","OUT027",5356.47788119074
"FDL26","OUT046",2470.22709798144
"NCZ42","OUT046",3761.53878601918
"DRI47","OUT019",445.531413632188
"FDW40","OUT013",2346.73661759453
"FDN34","OUT046",2748.13222853018
"FDS01","OUT035",3003.31064379318
"NCG55","OUT045",1762.19007454705
"FDC11","OUT035",1529.15919629222
"FDX35","OUT018",3317.50210257399
"NCB06","OUT046",2539.84517963823
"FDR09","OUT019",2173.69904458597
"FDC53","OUT017",1679.51071455966
"FDY45","OUT013",4052.81694396054
"FDA22","OUT010",755.253354903572
"FDE02","OUT035",1671.22151023352
"FDW21","OUT045",1578.28954789404
"FDV34","OUT046",1279.69637188661
"FDS59","OUT049",1902.6397623922
"NCW17","OUT017",2107.35680669549
"NCK54","OUT046",1854.52641783765
"FDG17","OUT019",1983.63675133605
"FDG35","OUT017",2899.33657004646
"FDD08","OUT010",-1222.52522701441
"NCO07","OUT017",3432.82669627793
"FDJ10","OUT010",361.309256878805
"FDW36","OUT017",1778.19074975391
"FDW21","OUT010",-260.862910314185
"FDY19","OUT017",1984.59651465439
"DRE03","OUT013",807.870387145051
"NCC55","OUT049",754.321841016871
"FDH52","OUT010",-844.44444459204
"FDO09","OUT017",4297.22113051957
"FDU43","OUT045",3755.319767353
"FDX09","OUT010",869.112397864429
"FDH40","OUT019",-501.722593008165
"FDW58","OUT017",1768.46736857914
"FDC47","OUT017",3680.22015494867
"NCR41","OUT035",1651.3890711743
"DRG49","OUT035",3976.74420824705
"FDC52","OUT027",3971.46280306598
"FDY13","OUT046",1250.82472682753
"FDY35","OUT013",835.799170466697
"FDI35","OUT017",3004.68171143022
"NCU18","OUT049",2363.35748023452
"FDY33","OUT018",2300.79347922068
"FDC15","OUT027",3961.81235154364
"FDU01","OUT049",3103.57003159282
"NCU42","OUT046",2697.24299602751
"NCV29","OUT018",2549.64425300336
"NCY30","OUT017",2988.1649477547
"FDQ46","OUT049",1867.45993417662
"FDG58","OUT027",3958.7871173757
"FDK33","OUT017",3482.57307767139
"NCD07","OUT045",1752.75288637621
"NCX29","OUT027",3755.27582254945
"NCT42","OUT013",2384.39947113422
"DRN59","OUT035",901.811445851695
"FDI44","OUT035",1450.6014239341
"FDA45","OUT049",2897.57541771824
"FDP31","OUT045",993.687347780326
"FDY01","OUT046",1856.40489127345
"FDT09","OUT018",1872.8645537972
"DRH03","OUT027",2980.48104551575
"FDA36","OUT018",2686.40464322577
"NCF31","OUT017",2549.23276471844
"FDG14","OUT049",2574.01189580202
"FDG28","OUT027",5363.94486811556
"FDU14","OUT049",4055.51782987489
"FDY47","OUT019",225.170047043214
"FDI56","OUT049",1566.53915949225
"DRD01","OUT013",982.52740099176
"FDM22","OUT046",945.002571547878
"FDH33","OUT013",746.100623690473
"DRZ24","OUT013",1884.45929261644
"NCQ38","OUT046",1670.44191456276
"FDO16","OUT027",2813.71063234555
"FDU07","OUT027",3872.92059973039
"NCB07","OUT013",3085.10056915613
"FDU48","OUT045",2009.76072187679
"NCM43","OUT045",2562.71635835855
"FDR31","OUT010",454.625449238203
"DRK49","OUT018",425.570266048124
"NCI30","OUT010",1904.48084795737
"DRD60","OUT017",2978.57897737252
"NCG19","OUT046",3660.20145571396
"FDH12","OUT035",1825.1566939339
"FDM32","OUT035",1636.06650036132
"FDM27","OUT035",2690.37228479602
"NCU53","OUT027",4058.88428600503
"NCQ18","OUT046",1557.93224636557
"FDS10","OUT013",2879.57175430499
"FDB33","OUT027",3997.08801142951
"FDI12","OUT013",1467.82354874748
"NCW42","OUT013",3503.94730739172
"NCC06","OUT018",1734.13877251416
"FDW02","OUT017",2121.99270517415
"NCD43","OUT017",1764.61090791314
"FDM57","OUT018",1125.08040460456
"FDA58","OUT017",3828.97284353983
"FDK56","OUT046",2949.12839310157
"FDP52","OUT045",3613.84447611773
"FDW20","OUT018",1694.22491130045
"FDS52","OUT049",1725.6788201224
"NCT29","OUT018",1609.98468760949
"NCL54","OUT013",2825.93707083314
"FDC05","OUT045",3116.18845654719
"FDF34","OUT035",3318.88010504989
"FDP03","OUT027",3447.8685965447
"FDD32","OUT010",-501.15856996779
"FDZ10","OUT045",1943.55531256685
"FDZ40","OUT035",1043.5632496633
"FDD51","OUT018",480.744749207946
"NCY30","OUT019",936.812478515158
"FDP58","OUT017",3535.49821094402
"FDV49","OUT017",4272.89530261987
"FDY24","OUT019",-1047.17333691075
"NCO55","OUT017",1792.08708177013
"FDR13","OUT017",2010.23720590671
"FDS51","OUT017",1129.51862988451
"FDP26","OUT045",1603.74566966819
"NCB54","OUT027",3473.92103544689
"FDF32","OUT017",3245.74473855841
"FDN31","OUT018",2749.44604769836
"DRM48","OUT017",715.685798874291
"FDN20","OUT049",2811.40422682981
"DRL01","OUT046",3689.734484838
"FDV56","OUT049",1878.27773079385
"DRH13","OUT027",3164.18584922898
"FDA03","OUT017",2502.18541636772
"FDF47","OUT027",4961.9957145054
"FDX32","OUT046",2409.92888683623
"FDX57","OUT049",1690.45810087412
"NCA30","OUT045",2915.70999141509
"FDO49","OUT013",922.504619879262
"FDL04","OUT019",-248.627607773883
"DRM48","OUT035",773.132987717523
"FDR16","OUT013",3398.65877841908
"NCC19","OUT018",2740.59901822902
"NCE42","OUT045",3620.96240427397
"FDY24","OUT017",1003.75783639929
"FDH19","OUT049",2907.50875142035
"FDJ46","OUT013",2804.75591554793
"FDN45","OUT010",1597.13039304278
"FDY08","OUT035",2441.24311671434
"FDZ37","OUT035",1605.99843738688
"NCT30","OUT045",707.365176094937
"DRY23","OUT018",466.171937337145
"NCZ30","OUT018",1627.97122064758
"FDC44","OUT018",1521.76810775445
"FDB45","OUT035",1825.76760561163
"FDY04","OUT013",2684.72927114615
"FDM27","OUT046",2589.13556625275
"FDZ43","OUT017",3968.17219665282
"FDT39","OUT019",579.933762905046
"NCC06","OUT019",83.0969325929723
"FDL15","OUT027",3930.94301987045
"FDL57","OUT017",4197.63013390063
"FDU08","OUT046",1616.81704727372
"FDK40","OUT017",4255.44592423679
"FDQ12","OUT010",1712.70872550636
"FDS48","OUT017",2544.48853148558
"FDP09","OUT045",3281.11817933046
"FDW21","OUT049",1717.24643236867
"FDY25","OUT035",3041.18170872137
"DRE13","OUT017",1476.28506718133
"FDV43","OUT019",-1166.79598276719
"FDD22","OUT045",1706.89954700984
"FDM46","OUT019",-445.116564718738
"NCO30","OUT010",1008.74106670084
"FDM25","OUT046",2833.74640067848
"NCN41","OUT049",2021.62389903903
"FDU24","OUT045",1455.53779436017
"FDZ50","OUT046",2982.5206883476
"FDP45","OUT013",4038.9052337133
"NCM54","OUT045",1903.57745155697
"FDW10","OUT019",869.996324856182
"FDP20","OUT017",2130.75792514439
"FDK32","OUT046",2487.81263186425
"FDN52","OUT049",1554.17589131935
"FDM58","OUT045",1736.08889579616
"FDZ46","OUT027",3208.83015100318
"NCA18","OUT018",1570.28103995707
"FDD35","OUT046",1943.78271935099
"NCK31","OUT035",960.033888173683
"FDI40","OUT027",3099.50727758338
"FDT50","OUT019",-299.837829554287
"NCT06","OUT046",2617.8575336477
"FDT31","OUT035",3147.43121365105
"FDT45","OUT049",967.60664820479
"FDT13","OUT045",2921.26756913243
"FDO50","OUT045",1401.84767551729
"NCU18","OUT010",338.373487582891
"NCR54","OUT049",3166.82772635635
"NCO18","OUT018",2558.11892462672
"FDU09","OUT045",888.507563854547
"FDT13","OUT018",2720.22151376617
"FDE09","OUT046",1813.6625345541
"NCK53","OUT019",-285.745596521718
"FDG45","OUT049",3472.31204905613
"DRH15","OUT035",900.796095556012
"FDO21","OUT019",1700.074566512
"FDD14","OUT027",4344.47530823587
"FDC09","OUT046",1712.93557278931
"FDH45","OUT027",2235.31907110295
"FDV32","OUT046",1051.2741689833
"FDG12","OUT035",2077.16728800101
"FDS32","OUT013",2354.04412784757
"NCL55","OUT018",3661.6906987308
"DRE01","OUT035",3946.42183288534
"DRE15","OUT049",1381.70409362415
"NCL42","OUT045",3799.91002441327
"FDP31","OUT013",1068.22386870185
"FDN33","OUT018",1248.72814207708
"FDZ59","OUT046",2655.43435041898
"FDE45","OUT010",950.692556337185
"FDJ07","OUT013",1929.74878098394
"FDQ45","OUT018",2712.21420495318
"FDM33","OUT027",4909.20736850363
"FDO15","OUT010",-594.59748359063
"FDM46","OUT013",1499.52055630212
"FDR03","OUT045",3259.83622512307
"FDY49","OUT018",2435.89123566826
"FDQ60","OUT045",1832.40361633708
"FDW10","OUT049",2885.01937633076
"FDO51","OUT049",912.128050259294
"FDJ40","OUT018",1510.82638841887
"FDS20","OUT018",2642.38760496062
"FDU45","OUT013",1867.91484771241
"FDV02","OUT035",2865.27570336201
"FDN09","OUT046",3827.77649942701
"NCM55","OUT027",4396.52480058393
"FDN23","OUT018",2095.74246524656
"FDY31","OUT010",422.039310800944
"FDW03","OUT010",-167.582789298075
"FDD14","OUT046",2881.67876795343
"FDV23","OUT017",2103.33725060741
"DRI03","OUT045",2720.43612685516
"FDN13","OUT035",1728.23367806622
"FDF45","OUT027",2474.75878706299
"FDU46","OUT035",1624.04976807792
"FDB57","OUT049",3663.86909395995
"FDV12","OUT049",1737.37900686022
"FDQ58","OUT013",2461.04564401911
"NCA18","OUT017",1931.1328747949
"FDH52","OUT049",1137.00819600975
"FDM24","OUT018",2158.49987073854
"NCP43","OUT027",4314.68807424986
"NCO18","OUT019",908.602233857503
"FDM32","OUT017",1587.43825061023
"NCL07","OUT017",756.500020673096
"FDK03","OUT013",4077.08872381521
"FDP59","OUT017",1782.06626242168
"FDQ24","OUT049",4045.36702637507
"FDQ16","OUT018",1465.20402538879
"FDU44","OUT013",2667.08884973686
"FDH28","OUT010",-1222.77179188724
"FDV28","OUT019",-1265.46398298806
"FDM22","OUT045",863.048585335894
"FDR56","OUT046",3161.93957235491
"FDV39","OUT049",3254.1806544218
"FDU37","OUT019",-551.259032244222
"FDQ11","OUT010",2156.74699740948
"FDX02","OUT045",3480.40933969401
"NCS42","OUT018",1201.2375497596
"FDY57","OUT027",2988.67778397766
"FDB21","OUT049",3897.60761302583
"FDE28","OUT017",3758.63277404079
"FDQ55","OUT017",1979.41138503031
"FDA48","OUT049",3608.41906552539
"FDZ19","OUT045",2705.57401172049
"NCC43","OUT045",3868.63582980002
"NCV18","OUT046",1303.36191727485
"NCA42","OUT018",2249.40275283166
"FDY45","OUT046",4038.92855122923
"NCC30","OUT045",2766.99356266189
"FDM57","OUT013",1466.05464840442
"FDL09","OUT010",751.633722200371
"FDB09","OUT027",3441.84426907794
"FDT44","OUT035",2035.6152073181
"NCT06","OUT027",4060.74622745394
"FDX26","OUT049",3020.54363193084
"FDK32","OUT013",2548.5667795614
"DRA12","OUT046",2299.77963360206
"FDO46","OUT010",1126.52894238947
"FDE52","OUT013",1511.4398969143
"NCH42","OUT045",3536.15436414408
"FDV08","OUT035",891.044538425423
"FDB47","OUT018",3053.21379443969
"FDC28","OUT010",-156.776811203158
"FDD22","OUT046",1804.95931102175
"FDS07","OUT027",3296.68587139137
"DRI13","OUT045",3357.15029863422
"FDG32","OUT018",3226.81413683363
"FDU14","OUT017",4063.26396137824
"FDD28","OUT019",-938.836159112399
"NCP41","OUT017",1838.99039432933
"FDS08","OUT049",2881.77733592134
"FDX47","OUT045",2506.03572340822
"FDC53","OUT019",-267.269837577695
"FDQ19","OUT035",4003.5873697299
"FDL14","OUT045",2463.1728261667
"FDM33","OUT019",1581.87063323502
"FDA51","OUT045",1766.64940436359
"FDZ27","OUT018",565.019272113791
"FDT04","OUT046",692.869387479065
"DRC13","OUT049",2101.09507039126
"FDR16","OUT027",4855.35669938436
"FDQ03","OUT027",5232.21611166939
"FDE38","OUT035",2815.72435676277
"DRH23","OUT027",2341.59953724679
"FDT11","OUT019",1129.09999745455
"FDD09","OUT035",3036.97850399654
"FDR40","OUT045",1332.32455001284
"FDX07","OUT017",3079.65995400218
"FDR07","OUT035",1697.53961419061
"FDA51","OUT017",1952.91561618143
"FDT59","OUT019",1769.23716130435
"FDF20","OUT017",3227.71233759333
"FDR13","OUT045",1811.95876198983
"FDY26","OUT049",3473.3527503958
"FDW04","OUT017",2197.37734118284
"FDK52","OUT017",3677.47425700865
"FDN60","OUT049",2613.6718708194
"FDM09","OUT019",860.297914106724
"FDP46","OUT049",1522.67633880115
"FDB50","OUT019",-626.59806112067
"NCQ29","OUT049",4145.27880796363
"FDP16","OUT027",5316.6858931758
"FDX33","OUT018",2333.60261556173
"FDP07","OUT010",1197.4133047726
"FDN22","OUT046",3971.00678575326
"FDF39","OUT049",4284.38337806298
"FDS21","OUT017",1113.68322365206
"NCM42","OUT013",1714.18991948166
"FDK50","OUT019",722.26654071451
"DRF13","OUT027",3813.6015105802
"FDH35","OUT018",2340.47850351183
"FDP60","OUT018",1321.53757896486
"DRJ49","OUT027",3489.7245117593
"NCT42","OUT019",456.162141000507
"FDE38","OUT049",2766.71607186114
"FDI04","OUT049",3292.39663262127
"NCH54","OUT045",2444.91054711103
"FDT56","OUT049",1094.38490998289
"DRD15","OUT018",3394.21768079001
"FDV58","OUT013",3079.13023271824
"FDP21","OUT049",3111.09957550069
"FDH05","OUT013",3743.02639024373
"FDR10","OUT027",4043.92996460173
"NCP06","OUT045",2303.49214968407
"FDF33","OUT049",1821.83274522216
"DRK37","OUT013",2979.08594093156
"DRH49","OUT045",1285.19400038861
"FDT58","OUT013",2700.7756107252
"FDD41","OUT018",1421.1375888589
"FDP40","OUT018",1495.11676816387
"FDM51","OUT027",3153.08684285947
"FDO45","OUT010",-458.935739918699
"FDW33","OUT010",-228.086296474424
"FDY24","OUT045",820.331222209989
"FDB10","OUT010",1825.4033392572
"FDM40","OUT035",2415.96251442592
"NCI06","OUT017",2970.82555619125
"FDW12","OUT019",461.324397655455
"FDX48","OUT027",3978.9926030182
"NCW05","OUT027",3106.48537593728
"FDX27","OUT017",1664.58590928471
"DRM37","OUT045",3055.44414344167
"FDA38","OUT045",3734.44744694788
"FDR36","OUT046",721.832736785528
"FDZ45","OUT046",3155.46208222946
"FDG05","OUT017",2684.53224031822
"FDK28","OUT013",4074.2092700441
"FDV47","OUT045",1342.63322115304
"FDN21","OUT045",2490.66279260096
"FDP20","OUT027",3467.5862954802
"FDI35","OUT045",2833.14605311312
"DRY23","OUT013",791.056788854499
"FDA56","OUT017",2077.69339139781
"FDB09","OUT013",1997.94951252057
"NCO26","OUT027",3282.70593266462
"FDQ49","OUT018",2283.8763439313
"FDI52","OUT027",3372.54655016388
"FDZ44","OUT027",3335.57460066217
"FDZ09","OUT018",2339.31987848922
"FDY03","OUT049",1946.21151406209
"NCG42","OUT017",2128.19298310394
"DRI13","OUT027",4892.83118013324
"FDQ32","OUT013",2072.57661753239
"FDW16","OUT035",1660.13194443027
"FDU27","OUT046",807.906728051963
"FDR28","OUT010",746.352179724675
"FDQ49","OUT010",667.019363554684
"FDS37","OUT046",1849.28416991732
"FDW26","OUT018",3260.32865564971
"FDX12","OUT018",3570.37073830103
"NCP06","OUT013",2422.06009681125
"FDW45","OUT010",422.03996692194
"NCN30","OUT049",1611.2590226962
"FDN24","OUT049",963.199296091506
"NCL41","OUT027",2040.17721553428
"FDR02","OUT019",-127.463332956632
"FDD09","OUT010",996.804554652303
"FDS33","OUT010",-483.853181027109
"FDU22","OUT045",1826.78999440023
"FDI53","OUT013",2657.54032953436
"DRH01","OUT049",2871.80674188195
"FDX32","OUT013",2387.71812475196
"NCP30","OUT018",374.689308317382
"FDB60","OUT045",3050.70744993435
"FDB14","OUT049",1622.72284349351
"NCP02","OUT035",1067.07945538841
"FDJ10","OUT017",2364.31827307422
"FDG34","OUT046",1813.85119318895
"NCB18","OUT017",1501.03848165104
"FDM16","OUT049",1376.97601526337
"FDW25","OUT018",1079.97918421514
"FDB35","OUT010",-396.471139189217
"DRN11","OUT013",2298.35928353227
"FDF41","OUT019",1988.29750657815
"FDH16","OUT045",1374.15810512878
"NCQ50","OUT018",3064.74283184864
"DRH23","OUT018",616.772162375599
"DRJ37","OUT013",2460.40288250042
"DRJ24","OUT027",4368.32243782828
"FDY16","OUT035",3092.48994846633
"FDQ27","OUT045",1648.64536840084
"FDZ33","OUT045",2315.40017564104
"FDF29","OUT045",2058.36543719729
"FDA08","OUT049",2773.15681915299
"FDG31","OUT046",1071.21194208309
"FDE34","OUT019",1014.59189289605
"NCR30","OUT027",2631.38033604055
"FDV33","OUT035",4255.5924523734
"DRZ24","OUT018",1604.81480077144
"NCL54","OUT035",2892.7581378632
"FDR12","OUT049",2910.13293013186
"NCC54","OUT046",3780.63602751064
"DRN59","OUT013",789.681750664515
"FDX50","OUT019",-148.390205409991
"FDV31","OUT027",4302.27101505327
"NCA29","OUT027",4199.43690147274
"FDW60","OUT049",2940.69934652613
"FDX08","OUT017",3037.51061751158
"DRD49","OUT013",3722.86024834875
"FDD33","OUT046",3660.38332597018
"FDW35","OUT013",790.975419936219
"FDJ36","OUT017",1783.8217558309
"FDV51","OUT035",2826.85178479878
"FDW36","OUT046",1710.50261195483
"FDH35","OUT046",2635.75361828933
"NCS30","OUT027",3470.51695147708
"FDN49","OUT017",806.288826917336
"FDL08","OUT018",3623.2585935427
"FDI09","OUT013",3842.86710590724
"FDP19","OUT018",1766.94398684655
"FDU21","OUT010",-1275.645482408
"NCP41","OUT045",1639.22318094364
"FDY10","OUT013",1820.31642495291
"FDP12","OUT018",423.836192224679
"NCN26","OUT049",1934.31259609278
"FDK44","OUT013",2815.16516712336
"FDC28","OUT049",1838.36099212021
"FDJ41","OUT027",5588.13889349149
"NCT29","OUT035",2085.18203068392
"NCH42","OUT019",1677.29096321417
"FDU60","OUT018",2425.26085057799
"FDS02","OUT045",3041.12393586836
"FDC51","OUT046",2023.53356533087
"FDU03","OUT013",2980.08222605783
"FDX39","OUT045",3345.55109402948
"NCY05","OUT010",-1284.25429383124
"NCL06","OUT027",5521.79029030099
"FDD32","OUT035",1513.06091217147
"NCN41","OUT045",1854.79195644113
"NCX53","OUT049",2357.4739280059
"FDU57","OUT019",533.322283569266
"FDQ23","OUT046",1678.6979046762
"FDQ52","OUT045",3841.30301278735
"FDC14","OUT045",675.488666311814
"FDY09","OUT035",2971.43081599367
"FDQ28","OUT045",2488.28725631152
"FDV25","OUT046",3474.69079795182
"FDJ07","OUT035",2011.01830465343
"DRB25","OUT049",1781.88719216281
"FDK52","OUT019",1645.09416381227
"FDY52","OUT027",2469.45793706002
"FDB28","OUT046",3132.71261224033
"FDT36","OUT035",783.569341305664
"FDV25","OUT017",3594.68339080225
"NCN07","OUT027",3484.83009898969
"FDC57","OUT017",3218.13551549177
"FDQ03","OUT018",3513.82014912983
"FDU23","OUT017",2805.26028558433
"NCX41","OUT035",3489.27455195868
"NCD06","OUT035",905.916047951069
"FDW08","OUT045",1641.02135510785
"NCU29","OUT017",2423.12168982211
"NCE06","OUT013",2559.38082584682
"FDV52","OUT010",-43.4303408688539
"FDB02","OUT017",2970.77908002923
"NCR18","OUT045",650.272213066484
"FDK16","OUT049",1614.19366165499
"NCQ29","OUT010",2121.41235975009
"FDZ01","OUT019",-180.433191963434
"FDW27","OUT035",2678.78854959612
"FDD17","OUT018",3474.7450900955
"FDW39","OUT013",2894.86059405239
"DRH59","OUT045",1130.9510606981
"FDS52","OUT013",1678.3490919428
"FDU40","OUT027",4540.76234960632
"NCF54","OUT013",2778.07204300189
"FDH46","OUT045",1615.46688275194
"NCP14","OUT049",1724.91745738156
"FDH50","OUT049",3070.99300254993
